date,mse,std,corr,max_power,weather,cond
20170912,0.0008394312973443917,0.0005551201806699243,0.9797539470000991,234.6611111111111,0,1
20170913,0.0008677090834527963,0.0003979084613840338,0.986400965976556,248.43977777777778,1,1
20170914,0.006031874931265983,0.0027643974323974265,0.9006578097696148,159.2921111111111,1,0
20170915,0.0023605294651465273,0.0016837902775562789,0.973641275091793,248.11433333333332,4,1
20170916,0.003014880736960841,0.001952333405934333,0.9475015495685275,236.27733333333333,4,1
20170917,0.0016613474253484002,0.0008594817731324905,0.9808066947452201,218.72255555555554,4,1
20170918,0.0014844073777082053,0.0011335774207620619,0.9851409866572902,222.02644444444442,4,1
20170919,0.005715857853399356,0.0037794476297567103,0.8577064744337857,170.15033333333338,4,0
20170920,0.010097653960924588,0.008005008369584557,0.4169202610526083,135.71666666666667,1,0
20170921,0.0028951153230369936,0.001974302357121729,0.9845813220030003,211.45666666666668,3,1
20170922,0.003806794983255728,0.004270775524245524,0.9852792158050934,227.6226666666667,1,0
20170923,0.009830390485749256,0.0217976139121257,0.819016128623864,224.69977777777777,4,0
20170924,0.010534576641433287,0.023959325636404787,0.8151031942167848,211.25355555555558,0,0
20170925,0.0016210158624856493,0.0017160880045073979,0.9868241335596419,208.06944444444446,0,1
20170926,0.003735902285031638,0.0028086924456454544,0.9675441387376125,198.59677777777776,4,1
20170927,0.002968962777211875,0.0021926805617324603,0.9843459400932638,206.339,0,1
20170928,0.0032639120840966627,0.0026773574193207253,0.9750607696621842,238.0871111111111,0,0
20170929,0.004524699950889492,0.00452139667323561,0.9112221618876066,228.69411111111108,0,0
20170930,0.010668731651405937,0.009096027416195767,0.2504533710091752,34.178555555555555,1,0
20171001,0.004242540119900853,0.0018537906438637003,0.9737816100503742,232.97866666666667,0,1
20171002,0.0022765845077124297,0.001355083583132981,0.9858211816176401,227.91066666666666,0,1
20171003,0.009651811293874763,0.0194698709073021,0.8408555454663139,219.70988888888888,0,0
20171004,0.00370637251943979,0.0031258631138075532,0.9459636916249597,216.60255555555554,0,0
20171005,0.004545902476828094,0.004276485050441974,0.9520690954670119,223.94355555555558,0,0
20171006,0.007797718775213337,0.004583787354836342,0.9329324774870811,118.50533333333334,3,0
20171007,0.0017002191873840874,0.0006934795855991317,0.9661061028748071,94.66222222222221,3,1
20171008,0.005845745672451169,0.0025790888267774796,0.8725614216110104,132.8571111111111,1,0
20171009,0.002559870380997457,0.0017557743455893736,0.9745019558537318,59.355111111111114,4,1
20171010,0.006765758794136231,0.0013127450330689212,0.9468411579426531,214.07366666666667,0,0
20171011,0.0018443965908303322,0.00042963288121449997,0.9904870674172859,161.12244444444443,3,1
20171012,0.005404511217274784,0.008330630215753575,0.9112105357491037,213.91022222222222,0,0
20171013,0.005464130537504371,0.00494786628318082,0.9563530543562673,215.6698888888889,0,0
20171014,0.02060933618669315,0.004838373115213139,0.9416369630196919,205.36055555555558,1,0
20171015,0.003232285206997164,0.002496951531418131,0.9503166879031253,195.5382222222222,4,0
20171016,0.006361021954336114,0.0043717651687079475,0.8036047480276459,140.45033333333333,3,0
20171017,0.005618752148295523,0.004999732200529545,0.9090250495625085,213.29188888888888,0,0
20171018,0.010767419292083535,0.006099438213602854,0.8667371563795575,198.495,0,0
20171019,0.0074027536221248115,0.0038748648668159432,0.8601283338895207,200.73544444444445,0,0
20171020,0.011894770800562931,0.008356544785474694,0.8469319821988137,200.615,0,0
