power_1,power_2
42.4,42.2
42.4,41.41
42.27,41.540000000000006
42.43,41.879999999999995
42.17,41.81
41.9,42.010000000000005
42.17,41.540000000000006
42.27,42.2
42.3,42.2
41.9,42.33
42.56,42.59
42.07,42.459999999999994
41.37,42.86
41.4,40.489999999999995
41.64,40.83
41.24,41.81
40.84,42.59
42.07,42.33
41.54,42.86
42.5,42.59
43.03,42.59
42.89,42.2
43.32,41.620000000000005
42.79,41.94
42.93,42.53
42.63,42.2
42.63,42.59
41.97,43.120000000000005
41.83,42.59
41.83,39.650000000000006
41.73,43.120000000000005
41.87,43.120000000000005
41.73,42.86
41.6,42.59
41.44,43.120000000000005
41.73,43.120000000000005
41.34,42.59
41.6,42.650000000000006
41.07,42.59
41.07,42.06999999999999
41.2,42.459999999999994
41.34,42.2
41.5,42.459999999999994
41.76,41.620000000000005
42.16,43.120000000000005
42.16,42.33
42.56,42.459999999999994
42.16,45.94
41.76,42.06999999999999
42.19,41.41
42.86,41.67
42.99,42.989999999999995
42.59,42.2
43.69,42.59
43.02,42.06999999999999
43.12,41.94
42.99,41.94
42.62,41.540000000000006
0.0,42.33
0.52,41.41
0.26,42.459999999999994
0.39,42.2
0.52,42.72
0.52,41.81
0.39,41.28
0.39,41.75
0.26,41.480000000000004
0.52,41.540000000000006
0.39,41.540000000000006
0.39,41.81
0.39,41.81
0.39,41.67
0.39,41.81
0.39,41.94
0.52,42.2
0.39,42.2
0.39,41.75
0.52,38.599999999999994
0.52,42.06999999999999
0.39,42.2
0.39,42.459999999999994
0.26,41.41
0.26,42.06999999999999
0.39,38.2
0.52,41.620000000000005
0.39,42.2
0.52,41.150000000000006
0.39,41.620000000000005
0.65,40.760000000000005
0.64,38.34
0.38,41.81
0.39,41.28
0.51,41.019999999999996
0.38,41.540000000000006
0.38,39.91
0.38,42.989999999999995
0.51,39.7
0.38,39.120000000000005
0.38,39.44
0.38,39.519999999999996
0.38,40.83
0.25,41.28
0.38,41.349999999999994
0.25,40.56999999999999
0.38,41.150000000000006
0.51,40.83
0.38,40.83
0.25,40.17
0.38,40.040000000000006
0.38,39.84
0.38,39.91
0.38,40.3
0.51,40.3
0.51,40.44
0.38,39.519999999999996
33.95,39.91
34.37,40.17
34.24,39.650000000000006
34.66,40.17
34.92,39.78
34.53,39.650000000000006
34.68,39.25
34.68,39.519999999999996
35.47,40.17
35.11,38.989999999999995
35.11,38.86
34.71,39.25
34.84,39.120000000000005
34.74,39.91
34.71,38.86
34.74,39.06999999999999
35.0,39.650000000000006
35.0,38.989999999999995
35.03,39.25
35.42,39.120000000000005
35.55,38.86
35.42,38.540000000000006
35.82,38.599999999999994
35.42,38.47
35.55,38.599999999999994
35.58,35.790000000000006
35.58,39.39
35.42,39.39
35.58,38.599999999999994
35.32,38.540000000000006
35.16,38.94
35.32,38.34
35.45,38.2
35.45,38.41
35.19,37.620000000000005
35.05,37.89
34.95,37.230000000000004
34.79,37.489999999999995
34.82,37.489999999999995
34.55,37.18000000000001
35.21,37.230000000000004
35.21,36.58
35.11,35.870000000000005
35.21,36.709999999999994
35.24,35.08
35.08,36.39
35.24,36.97
35.11,37.18000000000001
34.71,37.31
35.24,36.78
35.24,36.91
35.4,37.36
35.24,36.0
35.37,37.18000000000001
35.11,36.31
35.66,36.260000000000005
35.77,36.709999999999994
35.66,36.91
35.53,36.519999999999996
35.5,36.709999999999994
0.65,36.58
0.39,36.78
0.39,39.849999999999994
0.26,36.650000000000006
0.52,36.260000000000005
0.39,36.39
0.26,36.650000000000006
0.39,35.870000000000005
0.52,36.0
0.26,36.31
0.39,39.72
0.52,37.099999999999994
0.52,36.519999999999996
0.39,36.650000000000006
0.39,36.519999999999996
0.39,36.78
0.39,36.709999999999994
0.52,36.650000000000006
0.38,36.39
0.39,37.36
0.51,36.78
0.51,37.44
0.25,36.84
0.38,37.18000000000001
0.25,36.91
0.38,36.44
0.38,36.650000000000006
0.38,36.260000000000005
0.25,36.0
0.38,36.78
0.38,37.18000000000001
0.38,36.91
0.25,37.05
0.38,36.129999999999995
0.38,36.519999999999996
0.25,36.78
0.51,36.58
0.51,37.05
0.38,37.230000000000004
0.38,36.91
0.51,37.31
0.38,36.44
0.38,37.31
0.38,37.18000000000001
0.25,36.97
0.38,37.489999999999995
0.38,37.489999999999995
0.38,40.120000000000005
0.38,37.31
0.38,37.18000000000001
0.38,37.620000000000005
0.38,37.56999999999999
0.51,37.7
0.25,37.18000000000001
0.38,37.56999999999999
0.25,37.7
0.25,37.230000000000004
0.38,37.56999999999999
0.25,37.44
0.38,37.099999999999994
27.55,37.44
33.7,37.56999999999999
33.86,37.05
33.59,36.97
33.86,37.44
33.75,37.099999999999994
33.75,37.18000000000001
33.75,37.31
33.46,36.78
33.61,36.91
33.769999999999996,36.91
33.64,37.18000000000001
33.64,37.620000000000005
33.9,36.519999999999996
33.9,37.230000000000004
33.9,36.91
33.9,36.97
33.92,37.18000000000001
33.92,36.519999999999996
33.79,37.230000000000004
33.79,37.44
33.79,37.099999999999994
33.92,36.97
33.92,36.650000000000006
33.81,36.650000000000006
33.66,37.31
33.81,36.97
33.94,36.650000000000006
33.94,36.519999999999996
33.94,36.519999999999996
33.94,37.05
33.94,36.650000000000006
33.81,39.980000000000004
33.68,36.91
33.94,36.39
33.81,36.260000000000005
33.81,36.39
33.96,36.91
33.68,36.78
33.7,36.650000000000006
33.55,36.260000000000005
33.68,35.870000000000005
33.57,36.260000000000005
33.55,36.129999999999995
33.31,35.34
33.44,35.739999999999995
33.44,35.870000000000005
33.7,35.599999999999994
33.31,35.08
33.17,35.209999999999994
33.31,34.69
33.31,35.16
33.17,34.760000000000005
