0,power,power,power,power
179,36.65,0.26,63.83,40.38
180,35.89,0.52,63.17,40.51
181,32.87,0.39,62.73,40.38
182,32.43,0.26,63.96,40.38
183,32.33,0.39,63.25,40.25
184,32.23,0.52,63.96,40.38
185,32.13,0.26,62.91,40.38
186,32.03,0.39,62.99,40.25
187,31.93,0.52,63.43,40.25
188,31.83,0.52,67.41,40.38
189,31.73,0.39,63.12,40.51
190,31.63,0.39,63.69,40.38
191,31.53,0.39,63.91,40.38
192,31.43,0.39,64.35,40.25
193,31.33,0.52,63.78,40.38
194,31.23,0.38,64.09,40.38
195,31.13,0.39,63.17,40.38
196,31.03,0.51,63.61,40.51
197,30.93,0.51,64.17,40.51
198,30.83,0.25,63.43,40.51
199,30.73,0.38,64.61,40.25
200,30.63,0.25,63.43,40.38
201,30.53,0.38,63.56,40.38
202,30.43,0.38,63.04,40.38
203,30.33,0.38,63.38,40.51
204,30.23,0.25,63.96,40.38
205,30.13,0.38,64.22,40.38
206,30.03,0.38,64.3,40.51
207,29.93,0.38,64.09,40.51
208,29.83,0.25,63.56,40.38
209,26.13,0.38,62.86,40.38
210,26.52,0.38,62.78,40.38
211,26.78,0.25,63.78,40.51
212,26.58,0.51,63.56,40.51
213,27.05,0.51,60.77,40.51
214,27.23,0.38,62.78,40.38
215,26.91,0.38,63.43,40.38
216,27.31,0.51,63.83,40.38
217,26.44,0.38,63.17,40.38
218,27.31,0.38,63.78,40.51
219,27.18,0.38,60.9,40.38
220,26.97,0.25,63.65,40.38
221,27.49,0.38,63.52,40.38
222,27.49,0.38,62.91,40.25
223,30.12,0.38,63.56,40.51
224,27.31,0.38,63.38,40.25
225,27.18,0.38,63.3,40.38
226,27.62,0.38,63.12,40.38
227,27.57,0.38,62.91,40.51
228,27.7,0.51,63.56,40.38
229,27.18,0.25,63.17,40.25
230,27.57,0.38,64.22,40.38
231,27.7,0.25,63.43,40.51
232,27.23,0.25,64.61,60.41
233,27.57,0.38,64.56,60.67
234,27.44,0.25,64.48,60.68
235,27.1,0.38,64.17,60.54
236,27.44,27.55,63.96,60.55
237,27.57,27.7,63.12,60.55
238,27.05,27.86,63.83,60.55
239,26.97,27.59,62.7,60.55
240,27.44,27.86,64.09,60.57
241,27.1,27.75,62.86,60.96
242,27.18,27.75,62.6,61.22
243,27.31,27.75,63.83,61.22
244,26.78,27.46,63.56,61.35
245,26.91,27.61,61.16,61.49
246,26.91,27.77,62.13,61.22
247,27.18,27.64,63.38,61.35
248,27.62,27.64,65.92,61.09
249,26.52,27.9,63.69,61.1
250,27.23,27.9,62.91,61.38
251,26.91,27.9,63.65,61.23
252,26.97,27.9,62.78,61.09
253,27.18,27.92,63.52,61.51
254,26.52,27.92,62.6,61.1
255,27.23,27.79,62.86,60.97
256,27.44,27.79,63.65,60.97
257,27.1,27.79,62.73,60.99
258,26.97,27.92,63.91,60.99
259,26.65,27.92,63.3,61.51
260,26.65,27.81,60.16,61.12
261,27.31,27.66,62.86,60.99
262,26.97,27.81,63.3,61.25
263,26.65,27.94,63.69,61.12
264,26.52,27.94,63.83,60.99
265,26.52,27.94,63.25,61.12
266,27.05,27.94,63.43,60.99
267,26.65,27.94,63.96,61.01
268,29.98,27.81,63.78,61.12
269,26.91,27.68,63.96,61.14
270,26.39,27.94,63.3,61.27
271,26.26,27.81,63.17,61.27
272,26.39,27.81,63.17,61.27
273,26.91,27.96,69.5,61.14
274,26.78,27.68,63.96,61.4
275,26.65,27.7,63.17,61.53
276,26.26,27.55,62.86,61.4
277,25.87,27.68,63.3,61.66
278,26.26,27.57,62.73,61.27
279,26.13,27.55,60.9,61.79
280,25.34,27.31,63.91,61.79
281,25.74,27.44,63.83,61.94
282,25.87,27.44,64.09,61.67
283,25.6,27.7,63.43,61.81
284,25.08,27.31,62.91,61.41
285,25.21,27.17,59.68,61.54
286,24.69,27.31,64.09,61.54
287,25.16,27.31,63.52,61.67
288,24.76,27.17,62.73,61.94
289,24.95,27.17,63.17,61.81
290,25.03,27.17,63.04,61.69
291,24.5,27.04,64.09,61.81
292,24.5,27.17,63.78,40.51
293,24.56,27.04,63.78,40.38
294,24.63,27.15,62.86,40.51
295,24.24,27.31,63.91,40.51
296,24.24,0.52,63.17,40.51
297,24.24,0.39,63.04,40.51
298,23.85,0.39,63.83,40.38
299,27.64,0.39,63.12,40.51
300,23.98,0.39,63.12,40.38
301,24.11,0.25,64.22,40.51
302,23.72,0.51,63.56,40.38
303,24.11,0.51,63.04,40.51
304,23.98,0.25,63.96,40.51
305,23.85,0.38,63.96,40.38
306,23.06,0.38,63.12,40.51
307,26.6,0.51,64.17,40.38
308,23.46,0.51,63.83,40.38
309,23.06,0.38,63.52,40.51
310,23.19,0.38,62.34,40.38
311,23.59,0.51,61.99,40.38
312,22.8,0.25,61.82,40.51
