,28563595,28563594,28563596,28563622,28563597,28563606,28563604,28563602,28563603
201909030823,,,,,,,,,
201909030824,,,,,,,,,
201909030825,,,,,,,,,
201909030826,,,,,,,,,
201909030827,40.479,43.218999999999994,43.35,43.897,44.58,42.635,44.066,43.898999999999994,44.293
201909030828,,,,,,,,,
201909030829,,,,,,,,,
201909030830,,,,,,,,,
201909030831,,,,,,,,,
201909030832,,,,,,,,,
201909030833,,,,,,,,,
201909030834,,,,,,,,,
201909030835,,,,,,,,,
201909030836,,,,,,,,,
201909030837,,,,,,,,,
201909030838,,,,,,,,,
201909030839,,,,,,,,,
201909030840,,,,,,,,,
201909030841,,,,,,,,,
201909030842,71.10600000000001,76.38,76.915,81.215,78.78399999999999,76.207,79.233,78.17699999999999,78.09
201909030843,,,,,,,,,
201909030844,,,,,,,,,
201909030845,,,,,,,,,
201909030846,,,,,,,,,
201909030847,,,,,,,,,
201909030848,,,,,,,,,
201909030849,,,,,,,,,
201909030850,,,,,,,,,
201909030851,,,,,,,,,
201909030852,,,,,,,,,
201909030853,,,,,,,,,
201909030854,,,,,,,,,
201909030855,,,,,,,,,
201909030856,,,,,,,,,
201909030857,71.6,76.39,75.818,71.22800000000001,77.256,74.142,74.943,75.402,74.858
201909030858,,,,,,,,,
201909030859,,,,,,,,,
201909030900,,,,,,,,,
201909030901,,,,,,,,,
201909030902,,,,,,,,,
201909030903,,,,,,,,,
201909030904,,,,,,,,,
201909030905,,,,,,,,,
201909030906,,,,,,,,,
201909030907,,,,,,,,,
201909030908,,,,,,,,,
201909030909,,,,,,,,,
201909030910,,,,,,,,,
201909030911,,,,,,,,,
201909030912,66.15,65.777,67.812,67.383,66.906,65.96,68.868,65.089,65.483
201909030913,,,,,,,,,
201909030914,,,,,,,,,
201909030915,,,,,,,,,
201909030916,,,,,,,,,
201909030917,,,,,,,,,
201909030918,,,,,,,,,
201909030919,,,,,,,,,
201909030920,,,,,,,,,
201909030921,,,,,,,,,
201909030922,,,,,,,,,
201909030923,,,,,,,,,
201909030924,,,,,,,,,
201909030925,,,,,,,,,
201909030926,,,,,,,,,
201909030927,76.972,77.328,80.087,,80.587,80.039,81.783,78.94,80.454
201909030928,,,,84.45200000000001,,,,,
201909030929,,,,,,,,,
201909030930,,,,,,,,,
201909030931,,,,,,,,,
201909030932,,,,,,,,,
201909030933,,,,,,,,,
201909030934,,,,,,,,,
201909030935,,,,,,,,,
201909030936,,,,,,,,,
201909030937,,,,,,,,,
201909030938,,,,,,,,,
