contact_1,contact_2,open_1,open_2
0.51,71.58,0,4.44
0.51,72.05,0,4.56
0.38,72.23,0,4.69
0.38,71.91,0,4.81
0.51,72.31,0,4.94
0.38,71.44,0,5.05
0.38,72.31,0,5.06
0.38,72.18,0,5.43
0.25,71.97,0,6.05
0.38,72.49,0,7.04
0.38,72.49,0,7.78
0.38,75.12,0,7.91
0.38,72.31,0,7.29
0.38,72.18,0,6.17
0.38,72.62,0,5.55
0.38,72.57,0,4.94
0.51,72.7,0,4.56
0.25,72.18,0,4.44
0.38,72.57,0,4.32
0.25,72.7,0,4.31
0.25,72.23,0,4.32
0.38,72.57,0,4.31
0.25,72.44,0,4.32
0.38,72.1,0,4.44
27.55,72.44,1.27,4.31
27.7,72.57,3.43,4.32
27.86,72.05,6.76,4.31
27.59,71.97,8.93,4.31
27.86,72.44,14.58,4.31
27.75,72.1,12.66,4.32
27.75,72.18,11.11,4.31
27.75,72.31,9.7,4.19
27.46,71.78,9.06,4.31
27.61,71.91,8.54,4.56
27.77,71.91,7.91,4.44
27.64,72.18,7.26,4.44
27.64,72.62,6.5,4.31
27.9,71.52,5.86,4.07
27.9,72.23,5.35,4.19
27.9,71.91,4.96,4.07
27.9,71.97,4.71,4.19
27.92,72.18,4.58,4.07
27.92,71.52,4.2,4.07
27.79,72.23,4.07,4.07
27.79,72.44,3.94,4.07
27.79,72.1,3.56,4.07
27.92,71.97,3.56,3.94
27.92,71.65,3.43,4.07
27.81,71.65,3.3,3.94
27.66,72.31,3.3,4.07
27.81,71.97,3.18,4.07
27.94,71.65,3.05,4.07
27.94,71.52,3.05,4.07
27.94,71.52,2.92,4.07
27.94,72.05,3.18,4.07
27.94,71.65,3.43,4.19
27.81,74.98,3.69,4.07
27.68,71.91,4.2,4.07
27.94,71.39,4.58,4.19
27.81,71.26,4.96,4.19
27.81,71.39,5.6,4.19
27.96,71.91,6.37,4.31
27.68,71.78,7.65,4.31
27.7,71.65,9.31,4.31
27.55,71.26,11.37,4.56
27.68,70.87,14.83,4.44
27.57,71.26,15.1,4.56
27.55,71.13,15.24,4.56
27.31,70.34,15.62,4.68
27.44,70.74,16.39,4.81
27.44,70.87,15.24,4.81
27.7,70.6,14.85,4.81
27.31,70.08,13.82,4.56
27.17,70.21,12.92,4.44
27.31,69.69,12.03,4.31
27.31,70.16,11.9,4.31
27.17,69.76,11.38,4.19
27.17,69.95,10.99,4.19
27.17,70.03,10.74,4.31
27.04,69.5,10.48,4.07
27.17,69.5,10.23,4.19
27.04,69.56,9.96,4.19
27.15,69.63,9.45,4.19
27.31,69.24,9.32,4.07
0.52,69.24,0,3.94
0.39,69.24,0,3.94
0.39,68.85,0,4.07
0.39,72.64,0,4.07
0.39,68.98,0,4.07
0.25,69.11,0,4.19
0.51,68.72,0,4.07
0.51,69.11,0,4.06
0.25,68.98,0,4.19
0.38,68.85,0,4.19
0.38,68.06,0,4.19
0.51,71.6,0,4.31
0.51,68.46,0,4.31
0.38,68.06,0,4.31
0.38,68.19,0,4.44
0.51,68.59,0,4.44
0.25,67.8,0,4.56
0.38,70.29,0,4.56
0.38,67.1,0,4.44
0.38,67.1,0,4.44
0.12,67.8,0,4.44
0.51,67.75,0,4.56
0.38,67.36,0,4.56
0.51,67.88,0,4.56
0.38,66.96,0,4.56
0.38,66.96,0,4.44
0.38,66.57,0,4.44
0.51,66.83,0,4.56
0.25,67.1,0,4.44
0.38,66.57,0,4.44
0.38,66.83,0,4.44
0.38,66.96,0,4.44
0.38,66.57,0,4.44
0.25,66,0,4.31
0.51,66.96,0,4.44
0.38,66.13,0,4.44
0.51,66.05,0,4.44
0.38,66.57,0,4.44
0.51,66.26,0,4.31
0.51,67.1,0,4.44
0.25,66.52,0,4.31
0.51,66.57,0,4.44
0.51,66.31,0,4.44
0.25,65.74,0,4.56
0.38,66.39,0,4.56
0.51,65.87,0,4.68
0.51,65.79,0,4.56
0.38,65.61,0,4.44
0.38,65.61,0,4.44
0.38,64.82,0,4.44
0.25,65.61,0,4.44
0.38,64.3,0,4.44
0.38,64.3,0,4.44
0.38,65.92,0,4.44
0.51,68.27,0,4.44
0.38,65.61,0,4.44
0.38,64.95,0,4.56
0.51,64.95,0,4.56
0.38,64.82,0,4.68
0.51,64.69,0,4.81
25.03,64.64,1.27,4.93
25.31,64.43,3.56,5.3
25.96,64.43,7.14,5.42
25.98,64.38,12,5.67
26.38,64.56,25.4,5.67
26.12,64.95,21.39,5.67
26.51,64.04,18.17,5.42
26.66,64.12,15.22,5.3
26.66,64.43,12.91,5.05
26.66,64.38,11.23,5.05
26.68,64.51,10.21,5.18
26.68,65.21,9.57,5.31
26.94,64.64,9.31,5.42
27.2,64.17,8.67,5.31
27.22,64.82,8.16,5.05
27.09,64.82,7.26,5.18
27.35,64.82,7.01,5.67
27.2,64.9,7.39,5.92
27.31,64.3,7.52,6.17
27.22,64.17,7.14,6.17
27.48,64.25,6.63,5.92
27.35,65.08,6.24,5.8
27.61,64.64,5.86,5.79
27.61,64.82,5.6,5.8
27.51,64.69,5.35,5.68
27.64,64.12,5.09,5.55
27.51,64.56,4.96,5.68
27.51,64.51,4.84,5.92
27.64,63.99,4.71,5.92
27.77,64.3,5.09,6.54
27.51,63.99,5.86,7.04
27.53,64.25,6.88,7.41
27.92,64.3,7.9,7.78
27.79,64.25,9.05,8.15
27.79,64.04,10.46,8.52
27.79,63.99,12.26,9.14
27.92,63.99,14.44,9.14
28.05,63.78,17.15,9.14
27.92,64.64,20.38,9.52
28.16,64.95,25.95,10.01
27.94,64.43,34.57,10.39
27.94,64.12,45.19,10.76
27.81,64.51,46.13,10.63
28.18,64.95,45.1,10.51
28.33,64.77,42.63,10.88
28.75,65.03,45.68,11.25
28.86,64.56,47.67,12
29.01,64.95,49.66,12.25
29.03,65.08,52.21,12.5
29.14,65.35,53.29,12.62
28.88,65.35,54.03,13
29.14,67.96,56.2,13.38
29.27,65.61,58.63,13.87
29.14,64.82,61.16,14
29.14,65.48,62.57,14
29.27,65.16,63.79,14.12
29.41,65.08,66.33,14.5
29.65,62.03,71.08,14.63
29.41,65.43,70.22,14.62
29.43,65.21,69.43,14.5
0.39,65.21,0,14.37
0.26,65.35,0,14.38
0.51,65.61,0,14.38
0.25,65.61,0,14.5
0.38,65.35,0,14.5
0.38,65.48,0,14.5
0.38,65.08,0,14.63
0.51,65.08,0,14.75
0.38,64.51,0,14.89
0,64.69,0,14.63
0,64.43,0,14.01
0,65.03,0,13.14
0,65.74,0,12.51
0,65.48,0,12.14
0,65.08,0,12.14
0,65.08,0,12.26
0,65.03,0,12.27
0,65.48,0,12.4
0,65.74,0,12.77
0,65.21,0,12.77
0.25,66.18,0,13.26
0.38,63.38,0,13.39
0.51,67.15,0,13.51
0.25,64.74,0,13.26
0.51,63.25,0,12.77
0.38,64.22,0,12.02
0.38,64.35,0,11.64
0.38,63.69,0,11.53
