power_1,power_2
94.86317175,95.36924396
93.86492021,94.69537398
95.10629691,95.22352456
95.15411478,95.20447291
95.16517444,95.25641744
94.5986467,94.87782377
94.75410137,95.7270294
94.17784598,95.20261507
94.96254872,95.55833344
94.70394113,94.89777412
94.73214807,95.93886302
94.60986127,95.23876267
94.64521395,95.45928919
94.82448847,95.17771955
94.92629207,95.44479722
94.41266448,94.94226883
95.1753224,95.43644726
95.29293917,95.28511153
94.97084796,96.09806867
95.73881889,95.51903039
95.21758608,96.04099002
95.29206415,96.29293766
95.14199024,95.56849957
95.30317947,95.91830731
94.94743817,95.08961615
95.08916121,96.06356657
95.43335864,95.82450003
95.34886593,96.16430349
95.58089679,96.34100298
95.70708366,95.54742139
95.5246034,95.70164538
95.26046994,95.72675681
95.17902912,95.29011377
95.2745315,95.88672186
95.59257699,95.62501209
94.65199276,96.16072144
95.53625575,95.44639637
94.93114944,95.42683017
94.56395641,95.01198955
94.77582765,95.0723357
95.0722388,95.5497941
95.09272777,95.63418131
95.23653285,95.7253457
95.03772469,95.52442899
95.49819488,95.16253545
95.27578362,95.71447217
95.143023,95.85646439
95.40773162,95.01561862
95.17542385,95.27996782
95.64815266,95.82009154
95.40803149,95.74141206
94.74221642,95.77866356
95.86157887,95.83065924
95.93890407,95.99848407
94.98068233,95.68368787
95.78644597,95.80312323
96.12955146,96.02028728
95.99729264,95.53416153
96.0401499,95.72869209
95.55793271,95.68966036
96.01264161,95.62682875
95.53632518,96.12494613
96.3243188,95.78563617
95.85516453,95.3909186
95.34540049,92.99009706
96.24778666,96.26989035
95.9641716,96.25512272
96.16635486,95.95013765
95.73285348,95.97017567
96.20191155,96.5316604
96.54389605,96.66720917
96.3208212,96.15801577
96.33282308,96.56837441
95.93524177,96.72079344
95.90048161,96.38506675
96.57526895,96.68095389
96.07143182,97.03843953
96.39184275,96.79603197
96.11307891,95.86942075
96.12518944,96.4191282
95.73051666,95.55848865
96.43111555,96.37182657
96.190941,95.65870368
96.46786272,96.54151904
95.66016499,96.00555313
96.13141297,96.07991853
95.76547874,95.28067385
95.81292809,95.535049
96.08720995,95.48454329
96.17264056,95.65182089
96.18558905,95.61535425
95.97633489,96.11851088
96.48194724,96.34328629
96.31903707,95.42180542
97.17458967,95.75409109
96.09447513,96.5456123
95.81562829,96.11709015
96.77800117,96.61232519
95.94469443,95.9262167
96.35808899,95.69285211
96.01768239,96.46326605
95.82332617,96.16724669
95.90985444,95.94598146
96.18519046,96.21843728
96.66530618,96.12121382
96.37423401,95.74704466
95.62479614,96.50896495
96.32200967,96.84954948
96.08598553,96.62309888
96.34552815,96.3935634
96.26766633,96.7601162
95.74863208,96.18026381
95.85015553,96.34482044
96.54008304,95.66347081
96.26212912,96.10376051
96.21677237,96.17523132
96.54765459,96.42803769
96.76868818,96.40644936
96.45920667,96.12188511
96.41144966,96.32801771
96.14208037,95.94927708
96.26480641,96.59010762
96.59114568,96.76066375
96.3680779,96.49608092
96.61558762,96.58177156
96.34882715,96.26878146
96.83824522,96.18938967
96.36183163,96.53751777
96.68046963,96.7693811
97.26545404,96.11115343
96.42472291,96.33821023
96.41810515,96.13597455
96.24265389,96.411571
97.36692437,96.32567692
96.60390197,96.37932572
96.47150791,96.27842259
96.7463605,96.2093198
97.2834366,96.00806329
96.33291812,96.07316591
96.66190579,96.63214501
97.22522558,96.29619937
96.92738673,96.7480721
96.749907,96.07336192
97.08434542,96.48800683
97.0120549,96.37620734
96.93325933,96.31700251
96.52213409,95.97800233
96.58030926,96.56244416
96.64532839,96.31330848
96.34201948,96.59950933
96.91318215,96.74497999
96.74689871,96.0399698
96.43230637,96.83398627
97.01920311,96.23296104
96.95399087,96.97967652
97.2685171,96.43765298
97.11164974,96.73928012
96.90577302,96.69520288
97.71981246,97.04130607
96.61275696,96.39494969
97.35524534,96.98715374
96.84849026,96.8182079
96.7174151,96.129734
96.37267002,96.50874906
97.41407721,96.94202827
97.03581508,96.90775121
97.15459334,96.3524368
97.21444851,96.28596604
96.95777625,97.24562564
97.48375014,96.43341434
97.27145236,96.45625831
97.39843752,96.80310772
97.12507305,96.64803732
96.63494203,96.25278763
97.11637786,96.52340574
97.60873772,96.73312947
97.20892316,96.15315607
96.93856268,96.53790873
96.83323637,96.5496979
96.92892163,96.82711103
97.12968978,96.12960154
97.22919955,96.16830479
96.84506157,96.59139178
97.47077973,96.80193967
97.49514153,96.4535827
97.10335551,96.14135669
97.28037052,96.69871872
97.31875439,96.26854316
96.94917641,96.06894148
97.24424293,96.671079
97.17501415,96.69780414
97.02155607,96.27873673
97.65741459,96.80387551
97.72306756,96.62226313
96.86708488,96.73575852
97.4126669,96.29797147
96.80841502,96.69432891
97.49072661,96.36841571
97.40841647,96.48873378
97.39042631,96.85932632
97.12624177,96.72435241
96.87150737,96.77393349
96.8486694,96.70881668
97.44509132,96.98322546
97.21843528,96.32684841
96.68789946,96.68015585
97.75246961,96.24859623
97.26036465,96.82373813
97.0951598,97.1076103
98.06714657,96.87901332
97.26610609,96.65660429
97.06328648,96.29563265
97.46184864,96.8991716
97.51352808,97.1580053
97.11433069,96.48362622
97.34809304,96.31194017
97.57462646,97.13266494
97.53557564,96.54921492
97.60703866,96.56963812
97.53069111,97.37639269
97.1484116,96.89299488
97.33997504,96.71236394
97.8043225,96.75664579
97.7999538,96.55461354
97.43174569,97.21338689
97.82780357,96.71391687
97.34398087,97.12808622
98.12401405,96.6015218
97.64428875,96.52733309
98.06881371,96.99830685
97.3717958,97.06583878
98.06686674,96.8761183
97.79818278,96.66213527
98.38456256,97.41782888
97.80283605,97.46571164
97.77592068,96.88075968
97.17784227,97.08254227
97.58091386,96.83889971
97.49940607,97.24503673
97.88524093,97.28885805
97.6935867,97.23535982
97.45224643,97.4502428
97.63959747,97.71630666
98.05274329,97.60841515
97.89561888,97.45155312
97.91424782,98.06047062
98.07698796,97.19875953
97.43389885,97.83479297
97.64933188,97.27366324
97.67093378,97.47300121
97.9299881,97.43476377
97.57614042,97.37156927
97.8075499,97.94105988
97.94418069,97.3763725
97.46560974,97.54837778
97.49510068,97.53152529
97.71898431,97.6064271
97.9145103,98.05350197
97.93996938,97.14083447
97.81587685,97.04856293
98.09158099,97.70607893
97.79812413,97.60708164
97.86315666,97.64067769
97.8893685,97.82289281
97.84453381,97.48860623
97.80596493,97.82850084
97.87258919,97.71831949
98.17013771,97.73385245
98.23944373,98.13195639
97.95855808,98.00231824
97.97805119,97.63213415
97.73833879,97.46398466
98.1927335,97.84487876
98.15278554,97.74631545
98.01625943,97.78691325
97.79271298,97.74611523
98.2265943,98.25645634
97.38947934,97.67204326
97.63339805,97.67931725
98.21056801,97.2326975
98.18604368,97.7706271
97.8311113,98.24096421
97.65842707,97.3112279
98.3140165,97.76823657
98.28158531,98.10904814
98.00031677,97.71161835
98.4100954,97.78585559
98.17464952,97.78568309
98.18421554,97.72140936
97.97193285,97.53681078
98.37342667,98.13189179
97.95700228,97.80169906
97.87641454,98.34183704
98.37112708,98.2164624
97.9717977,98.16017891
98.22727019,98.55017577
98.73316503,98.15346004
98.50148192,98.12827962
98.24997082,98.59923924
98.26494583,98.28397132
98.19435133,97.83245034
98.34575672,98.24993694
98.15356286,97.67294322
98.09075641,97.89933854
97.50456288,98.56951878
98.41789845,97.81639211
98.16217366,98.25690151
98.18945077,98.05355089
97.79919651,98.24105919
98.3209407,98.13879926
97.94641813,97.98049292
97.80009811,98.15781341
98.54947732,98.62718835
97.622257,98.6125775
97.09969177,98.39670717
97.6373429,98.37693871
97.78960206,98.46780033
97.67532041,98.17755871
97.290581,98.34369147
97.80772148,98.58302274
97.84690633,98.61731916
96.84368609,98.43363761
97.63007219,98.80185349
97.43426999,97.19446015
98.03005921,98.30110293
97.33993387,98.49451447
97.35764722,98.47555624
97.20261145,98.97554724
97.77679574,98.72755904
97.17901202,98.37352874
97.05561008,98.96569576
97.58026899,87.42260688
97.96885583,98.06958406
97.37927546,98.13037482
97.3023745,98.22138179
97.83827108,98.9889195
98.21995428,98.70292297
97.48600746,98.36799938
97.53013157,98.56278724
97.37677506,98.28060842
97.71773894,98.85012378
97.44061881,98.3165559
97.72139725,98.96036296
98.03886574,98.86945951
97.41660247,99.49205678
97.7478298,98.78128655
98.11676059,98.8231497
97.56248564,98.87808642
97.90084557,98.35912347
97.64873781,98.8036942
97.51145541,98.31592432
97.10441008,98.48496784
97.41840756,99.15651417
97.8223311,98.90243177
97.59280494,98.3932891
97.6303272,98.44905066
97.81552769,98.51619716
97.62042816,99.06730181
98.12926524,98.67233138
97.57177408,98.6256447
97.58440559,98.54006598
97.50150262,98.6964984
97.3829885,98.59858521
97.79694346,98.31632722
98.0343427,99.08994541
97.06674359,98.7114368
97.33168097,98.00010066
97.55799467,98.7489379
97.47024466,98.85715035
97.58153406,98.22245425
97.65608145,99.24736056
97.8958137,98.79482491
97.89498598,98.2602363
97.82340077,98.71109262
97.24481889,98.67727116
97.57327912,98.63798753
97.31880024,98.97324783
97.81281356,98.26351051
97.62880417,98.49803969
97.47600485,98.78979196
98.07857642,98.82600636
97.75118934,98.7591571
97.43204411,98.64411313
97.34076379,99.06242965
97.37112505,98.49997904
97.52983068,99.5737859
97.56598596,99.10120118
97.38998835,98.76025905
97.74501999,98.24236763
98.04394702,99.4753436
97.68797644,98.30896523
97.8510715,98.74013678
97.20365391,98.63833916
97.57170437,98.55973691
97.87999774,99.33290771
97.34113163,98.58948529
97.51484092,99.48180272
97.63074894,98.97410924
97.89082561,98.81270652
97.16407754,98.96677581
97.85896715,98.72565967
97.80738776,98.83136304
97.55840837,99.14369798
97.46040815,98.64980452
97.30648176,98.93543596
97.29127154,98.9950764
97.68946278,98.80558305
97.40926804,99.06621948
97.29677804,98.99169059
97.7893683,98.22130614
97.73368518,98.5569921
97.36297124,98.92506814
97.4425281,99.14435294
98.165492,98.71797095
97.90287088,98.71235683
97.77565777,99.32019934
98.12455794,99.36896904
97.3614912,98.88279481
97.83468369,98.93575552
97.82245467,99.29482901
97.77596297,98.43685118
97.56435337,98.8323179
97.66702007,99.16189141
97.38938714,99.0651
97.6156899,99.5778586
97.52888369,99.43909474
97.31870856,98.53017659
97.17217555,98.70256515
98.16697448,99.04689987
98.13962875,99.19294185
98.11423168,98.54719191
97.84172328,98.6480541
97.34154289,99.31950005
97.70547417,98.49632042
98.05012955,98.77027912
97.40521888,98.476112
98.39436546,99.0431475
97.99532025,98.66652839
98.09951862,98.99466113
98.36205153,98.71356206
98.27778095,98.63280943
97.20579935,98.96947936
97.60809637,99.02711033
98.08365979,99.22835572
97.79227435,98.72456337
98.44165057,98.87968847
97.39215418,99.57736856
97.57573395,98.93854864
97.69475476,98.46476885
97.96079274,98.58613338
97.9987842,98.84541443
97.88382058,98.98510296
97.98434658,99.04308996
97.84912801,98.67839997
98.08430422,98.35346244
97.63865401,99.48354513
97.56568269,99.12819418
98.17540721,98.70521291
97.80867142,99.00840445
98.36427437,98.78606001
98.34002007,98.44936446
98.16100035,98.83018856
97.79897224,98.95496807
98.11397531,98.94849667
98.19078117,99.55650419
97.83197304,98.59778647
98.21325735,98.76316127
98.08199198,99.25109641
97.67256397,98.80306476
97.58290838,98.92838051
98.1753385,99.13028816
97.6585465,98.59572493
97.82107555,99.29491069
97.65342659,99.30931829
98.41173363,99.33670289
98.16653171,98.97844262
97.26743373,98.94449938
98.09288633,99.07733099
98.03310844,99.65188215
97.70810418,98.95319037
98.46550091,98.50074234
98.31980667,99.25440573
97.65123875,99.19401979
97.97198389,98.61315378
97.85500421,98.91473323
98.40254219,98.59301802
98.79653007,98.96482679
98.09410452,98.63597447
98.07646138,99.13473234
97.9713169,98.86287574
98.52082278,99.18211473
97.57608792,98.92992886
98.6769805,99.32451283
97.81646083,98.89002359
98.0339734,99.0073871
98.35361854,99.13361044
98.1147266,98.739104
97.38781363,98.71083274
98.61994892,98.37311895
98.58886466,99.18785874
97.74204759,98.44389975
98.56136131,99.15391802
98.01187553,99.2308535
98.3243231,98.72170089
97.96299688,98.92509874
98.18771975,99.014352
98.18977204,98.54144204
97.869139,99.27398199
98.23402384,98.8259349
98.66116928,98.74502309
98.02581378,99.26579946
98.52814403,98.91825338
98.17761091,99.14781776
99.07903035,98.57284202
97.90818996,99.42544893
97.9236879,98.54103057
97.40478241,98.67375101
98.22912595,98.58141733
98.36724061,98.538534
98.23005022,98.53341273
98.46348543,98.83689228
98.10405192,99.00228759
98.54374692,98.69657471
98.30495652,99.08278062
98.2964001,99.08505339
98.21915425,99.10399405
98.40994815,99.11294698
98.58106166,99.23340193
97.93265512,98.70479243
98.25348004,99.18543991
98.74657095,98.87712929
98.00367007,98.85550302
98.59114629,98.89998091
98.47348352,98.75213011
98.30709094,98.84148085
98.38326445,99.69398914
98.49440129,99.66742379
98.44984045,98.39986711
98.29142115,98.82012613
99.19481023,99.04603266
98.5732332,98.4597403
98.93353391,98.46812851
98.55942956,98.25606057
98.56831699,98.96825453
98.27478462,98.81494852
98.38704737,98.60756567
98.93110518,99.22392391
98.40583797,99.39027908
98.17566085,98.40993891
98.59139487,98.84142847
98.68986307,98.74730345
99.01439797,98.73980394
98.23623456,99.5000332
98.65681376,98.65752873
98.94190113,98.54086668
98.69035881,98.74670617
99.36055469,98.77333397
98.70278315,99.24214199
98.61469899,98.36252818
98.40176865,99.08073399
99.26449985,99.00483016
98.4296716,99.22321246
99.07921748,99.0173184
98.42954155,98.90472531
98.24479042,99.18641424
98.82778584,98.75671116
98.46210645,98.99642836
98.21025335,98.86247439
98.31208498,99.08103092
98.66579054,99.09433309
98.5127768,98.76929293
98.84644877,98.71653985
98.26477564,99.07293469
98.56396731,98.78214524
98.35305071,99.28378442
98.8581289,99.09725858
98.60674601,98.73468163
98.63257771,99.00211771
98.27843846,98.50342245
98.86838586,99.08087448
99.28782496,99.36702578
98.73417328,99.0816968
98.59527736,98.74038495
99.43046988,99.02842738
98.84225402,98.75144228
98.98808648,98.04477302
98.42060904,98.74684338
99.00612933,99.09451149
99.05756909,98.85654234
98.96131921,99.07577563
98.20172224,98.91812547
98.59188419,99.11036917
98.43807611,98.64663626
99.20432343,99.07292945
98.75280167,99.03760458
98.90984402,98.96651154
98.64451406,99.35868083
98.6427505,98.30962298
98.98611496,98.16130711
98.7262682,99.31774683
99.56904929,98.72139286
84.20604107,99.04694943
83.45964777,99.06426754
83.44431844,99.14765841
