water_1,water_2,dust_1,dust_2
,,13.66,11.05
,,13.66,11.05
,,13.66,11.05
,,13.66,11.05
,,13.79,10.92
,,13.8,10.92
,,13.66,10.92
,,13.66,10.92
,,13.79,10.92
,,13.79,10.92
,,13.66,10.92
,,13.65,10.92
,,13.66,10.92
,,13.54,10.79
,,13.54,10.92
,,13.66,10.79
,,13.66,10.92
,,13.66,10.92
,,13.66,10.79
,,13.54,10.92
,,13.66,10.92
,,13.66,10.79
,,13.66,10.92
,,13.79,10.79
,,13.79,10.92
,,13.66,10.79
,,13.67,10.78
,,13.79,10.79
,,13.66,10.79
,,13.66,10.92
,,13.79,10.79
,,13.66,10.79
,,13.91,10.79
,,13.79,10.79
,,13.67,10.79
,,13.67,10.79
,,13.66,10.92
,,13.79,10.79
,,13.67,10.79
,,13.67,10.79
,,13.67,10.79
,,13.55,10.79
,,13.55,10.79
,,13.42,10.66
,,13.42,10.66
,,13.29,10.66
,,13.42,10.52
,,13.3,10.52
,,13.29,10.53
,,13.17,10.4
,,13.17,10.27
,,13.04,10.27
,,13.16,10.27
,,13.04,10.26
,,12.91,10.14
,,12.91,10.14
,,12.79,10.14
,,12.79,9.87
,,12.54,9.87
,,12.41,9.74
,,12.28,9.75
,,12.28,9.61
,,12.16,9.48
,,12.02,9.48
,,11.91,9.35
,,11.65,9.22
,,11.53,9.09
,,11.4,8.96
,,11.4,8.83
,,11.27,8.83
,,11.27,8.83
,,11.27,8.82
,,11.4,8.83
,,11.27,8.96
,,11.41,8.82
,,11.27,8.82
,,11.15,8.69
,,11.02,8.69
,,11.02,8.7
,,10.9,8.56
,,10.9,8.43
,,10.65,8.43
,,10.77,8.31
,,10.77,8.3
,,10.65,8.3
,,10.65,8.3
,,10.65,8.43
,,10.65,8.17
,,10.52,8.17
,,10.65,8.17
,,10.39,8.17
,,10.52,8.04
,,10.39,8.04
,,10.39,8.04
,,10.39,8.17
,,10.14,8.04
,,10.26,7.91
,,10.27,7.91
,,10.26,8.04
,,10.39,8.04
,,10.39,8.17
,,10.52,8.3
,,10.65,8.3
,,10.52,8.3
,,10.51,8.3
,,10.39,8.17
,,10.39,8.04
,,10.27,8.04
,,10.26,7.91
,,10.27,7.91
,,10.27,7.91
,,10.26,7.91
,,10.27,8.04
,,10.26,8.17
,,10.39,8.04
,,10.51,8.17
,,10.65,8.3
,,10.65,8.43
,,10.65,8.43
,,10.77,8.43
,,10.77,8.56
,,10.9,8.56
,,10.77,8.56
,,10.77,8.56
,,10.77,8.43
,,10.77,8.56
,,10.65,8.43
,,10.52,8.3
,,10.65,8.3
,,10.65,8.3
,,10.76,8.3
,,10.77,8.43
,,10.77,8.56
,,10.9,8.56
,,10.9,8.43
